t,Unnamed: 0,hash_rate_mean,new_addresses,open,high,low,close,total_addresses,total_fees,total_supply,total_transactions,gas_price_mean,gas_price_median,google_trends,transfers_med,sigma,sp500,vix,gold
2016-02-13,43,712689177617.338,1387,5.70762393512695,5.77885007024212,4.17455124383831,5.395889441104567,59842,36.1185857095973,77313135.18698,19322,57729244743.925,50000000000.0,0.0064,1.15392225,0.2272844818804985,1864.780029296875,25.399999618530273,1239.0999755859375
2016-02-14,44,721498640763.999,1083,5.452789314841778,5.472001247491599,4.464971802108523,5.269033114817769,60925,27.7730442997066,77339464.24948,16617,53479540613.195,50000000000.0,0.0066,1.18658859,0.1422254087349831,1864.780029296875,25.399999618530273,1239.0999755859375
2016-02-15,45,741058722988.967,959,5.335476777803033,5.872394739200452,4.979776951185949,5.287231067852225,61884,30.7253429587348,77365689.56198,17148,56788416455.5576,50000000000.0,0.009,1.15174023,0.1164491600209982,1864.780029296875,25.399999618530273,1239.0999755859375
2016-02-16,46,738332185091.311,920,5.303901103451323,5.43882981946037,3.9648848482053,4.320471953289193,62804,33.2945208105968,77392135.34323,17522,55814592782.9137,50000000000.0,0.006,1.15556617,0.183600551779291,1895.5799560546875,24.110000610351562,1207.9000244140625
2016-02-17,47,714848930939.545,916,4.317646272230808,4.79132280908957,3.50519963962647,3.757025177394966,63720,41.0193936771633,77417807.37448,19943,54601880947.2465,50000000000.0,0.0066,1.13696852,0.2034061917062618,1926.8199462890625,22.309999465942383,1211.0999755859375
2016-02-18,48,704824841219.741,743,3.764901103511937,4.843433749547505,3.360579604460315,4.393861659582324,64463,29.2699233548961,77444022.21823,16939,54513971077.7391,50000000000.0,0.0056,1.17026304,0.2399574331585283,1917.8299560546875,21.639999389648438,1226.0999755859375
2016-02-19,49,736779414800.902,779,4.369717233044926,4.7905209539809634,4.28755763905178,4.714530070097653,65242,37.0360032943274,77470677.68698,18386,54608221631.7852,50000000000.0,0.0049,1.13368872,0.0626376735197346,1917.780029296875,20.530000686645508,1230.4000244140625
2016-02-20,50,748841498916.51,638,4.687136827758471,4.746377378176103,4.108066019795602,4.336591602720741,65880,26.7916448964461,77497238.46823,16680,53778238540.2557,50000000000.0,0.0038,1.14143082,0.0899763680833188,1917.780029296875,20.530000686645508,1230.4000244140625
2016-02-21,51,758044434793.575,1620,4.33313070818444,4.720130815154412,4.209603292572805,4.644085134799437,67500,28.1406803079675,77523775.03073,17102,54255151036.9466,50000000000.0,0.0038,1.19055742,0.0685279459532619,1917.780029296875,20.530000686645508,1230.4000244140625
2016-02-22,52,793015312798.94,857,4.642564121255418,5.682304064624628,4.642564121255418,5.662682088649438,68357,32.5491110595498,77550532.84323,18160,59577980578.5622,50000000000.0,0.005,1.13651552,0.0719669488414285,1945.5,19.3799991607666,1209.5
2016-02-23,53,792457058660.897,845,5.717194084807615,5.9542801716861415,5.36301731878407,5.592879762274616,69202,94.1643662476463,77576702.84323,18078,61016867321.1565,50000000000.0,0.0061,1.18713315,0.0726785371634489,1921.27001953125,20.979999542236328,1222.300048828125
2016-02-24,54,792648621325.361,782,5.590093818620368,6.250380071183534,5.493079219276719,6.233300787069853,69984,52.032071341042,77603129.71823,18840,58177356218.91,50000000000.0,0.0073,1.14843462890588,0.0613050120181329,1929.800048828125,20.719999313354492,1238.699951171875
2016-02-25,55,805314992344.29,945,6.187687620245492,6.653120881262242,5.346748054622237,6.072273526693668,70929,31.6128430902596,77629953.46823,19486,57464169480.064095,50000000000.0,0.0064,1.11731909,0.1541281688838399,1951.699951171875,19.110000610351562,1238.199951171875
2016-02-26,56,821333995638.91,716,6.046504297229806,6.235820834464546,5.701371023473188,5.899538361446801,71645,50.8616404256414,77656607.53073,21036,54600904591.4913,50000000000.0,0.0076,1.12586585,0.0614858502976712,1948.050048828125,19.809999465942383,1219.800048828125
2016-02-27,57,841180455088.384,755,5.941471383652935,6.512400261315766,5.941471383652935,6.425304390895775,72400,28.3747446946272,77682803.62448,18957,54108259575.3631,50000000000.0,0.007,1.11489589,0.0429138106487809,1948.050048828125,19.809999465942383,1219.800048828125
2016-02-28,58,857758345615.535,1287,6.391747008964719,6.638129714767749,6.208332231213272,6.430797893643479,73687,29.3587208003082,77709229.40573,19037,54072562583.3313,50000000000.0,0.004,1.18403145,0.0471806465216004,1948.050048828125,19.809999465942383,1219.800048828125
2016-02-29,59,832831284915.998,1668,6.451990214072813,6.63112453178266,6.04335587724267,6.312315400827469,75355,32.9441902138078,77734458.93698,20331,58416492222.3835,50000000000.0,0.0063,1.18009124,0.0642049122984405,1932.22998046875,20.549999237060547,1233.9000244140625
2016-03-01,60,844942991115.509,1781,6.307932087101477,7.790527763658036,6.267452857770322,7.626141923994518,77136,33.9508403305522,77760940.03073,21757,59690933815.9465,50000000000.0,0.0086,1.18914732,0.098739152802616,1978.3499755859375,17.700000762939453,1230.300048828125
2016-03-02,61,881585537104.896,2135,7.600685661922151,8.736881982129532,7.358439000725432,8.389200852135929,79271,39.0787626378784,77787584.24948,23547,67322497889.5937,50000000000.0,0.0122,1.13674578,0.1047746158046429,1986.449951171875,17.09000015258789,1241.0999755859375
2016-03-03,62,905016871675.279,2264,8.4019917653937,10.053962462617209,8.253243945440644,9.269071210091797,81535,35.3327310900656,77813695.49948,24813,56545945781.723495,50000000000.0,0.015,1.14057741,0.1254964665943904,1993.4000244140625,16.700000762939453,1257.4000244140625
2016-03-04,63,932909383622.856,2323,9.13325280871631,10.446946450100896,8.394394687699332,10.335836092949757,83858,33.9631795907319,77839577.06198,24274,53626100170.6859,50000000000.0,0.0106,1.11158941,0.1342174017135788,1999.989990234375,16.860000610351562,1269.9000244140625
2016-03-05,64,978599559270.244,3024,10.358456474091083,12.28993616489233,9.881760989659645,10.881702685077158,86882,33.8981528103038,77866162.99948,27101,47489912177.340805,50000000000.0,0.0152,1.30482519,0.1511407278546075,1999.989990234375,16.860000610351562,1269.9000244140625
2016-03-06,65,984746985611.435,2801,11.22121390848596,11.842688113843606,9.907488090304517,11.284118168860626,89683,37.6921226263818,77891562.68698,27646,47259057065.1246,50000000000.0,0.0124,1.13667371,0.1261139965342052,1999.989990234375,16.860000610351562,1269.9000244140625
2016-03-07,66,998092568614.756,1817,11.345106000032445,11.573346653085864,9.30950245407278,9.564482173251603,91500,30.3772576272564,77917548.15573,23256,50440843853.6381,50000000000.0,0.0116,1.12540301,0.1114895897309408,2001.760009765625,17.350000381469727,1263.199951171875
2016-03-08,67,1015547043083.15,2259,9.542759672729508,10.127322411199124,8.817954957467778,9.744074055949437,93759,33.347883941224,77943371.28073,24094,53595079870.394005,50000000000.0,0.01,1.09903452,0.0970331070811174,1979.260009765625,18.670000076293945,1262.0999755859375
2016-03-09,68,1031525925506.85,2249,9.697277462010645,11.197,9.59216055916763,11.197,96008,26.0641714329832,77969112.06198,24549,38089619701.6432,33278493447.000004,0.0112,1.08548529,0.063071063472988,1989.260009765625,18.34000015258789,1256.5999755859375
2016-03-10,69,1082624584189.15,2374,11.298000000000002,11.75,11.298000000000002,11.75,98382,20.3466620473723,77995742.06198,24781,30204433046.8153,20000000000.0,0.0092,1.23552267,0.0132276249471262,1989.5699462890625,18.049999237060547,1272.0
2016-03-11,70,1094414377160.44,1436,11.85,11.95,11.8,11.95,99818,19.247904795593,78022044.56198,23104,29035652694.0532,20000000000.0,0.0086,1.04694261,0.0072457880960678,2022.18994140625,16.5,1258.699951171875
2016-03-12,71,1142609455345.31,1874,11.95,13.4,11.95,12.918,101692,24.2939252772654,78048414.71823,27784,29197411911.495,20000000000.0,0.0136,1.14943696,0.0649168118777233,2022.18994140625,16.5,1258.699951171875
2016-03-13,72,1207900218125.62,1874,13.45,15.074000000000002,13.45,14.469333333333331,103566,25.6417147768732,78075665.18698,28101,30820960382.1456,20000000000.0,0.0156,1.07687499,0.066600340318775,2022.18994140625,16.5,1258.699951171875
2016-03-14,73,1186054890902.04,2049,14.531,14.871071428571426,11.4,12.31675,105615,27.7887085331348,78102073.15573,28516,28509995012.7474,20000000000.0,0.02,1.13808231,0.1573778096386307,2019.6400146484375,16.920000076293945,1244.4000244140625
2016-03-15,74,1215375125403.31,1761,12.685052631578946,13.15,12.068047619047626,13.1,107376,24.012965397747,78133296.74948,29227,26342144976.0747,20000000000.0,0.016,1.09315507,0.0573217917253326,2015.9300537109375,16.84000015258789,1230.4000244140625
2016-03-16,75,1239257546869.25,1530,13.145,13.824333333333335,12.493932203389832,12.545333333333335,108906,23.8727859453998,78164786.90573,27555,25523949148.1123,20000000000.0,0.0124,1.10609599,0.0654004930665007,2027.219970703125,14.989999771118164,1229.300048828125
2016-03-17,76,1268238807056.8,1624,12.557249999999998,12.594,10.491285714285713,11.028888888888892,110530,31.6680980212903,78196811.43698,33507,27708932990.0411,20000000000.0,0.0114,1.12906163,0.1008903742896515,2040.5899658203125,14.4399995803833,1264.5
2016-03-18,77,1261434319181.37,1818,11.08,11.1595,8.485,10.921384615384614,112348,27.4326886831826,78228094.24948,31797,26302902479.704098,20000000000.0,0.0146,1.1,0.1935336949596265,2049.580078125,14.020000457763672,1253.800048828125
2016-03-19,78,1312355643168.22,1226,11.043466666666664,11.13,9.79745,10.524,113574,44.2853796415521,78260173.31198,34762,29326753003.149097,20000000000.0,0.0116,1.06395803,0.0850540936080341,2049.580078125,14.020000457763672,1253.800048828125
2016-03-20,79,1355676098749.33,1436,10.563666666666666,10.833666666666666,9.578333333333331,10.268,115010,35.7288538516077,78291760.96823,32429,26655411712.0848,20000000000.0,0.01,1.05856641,0.0852775622156042,2049.580078125,14.020000457763672,1253.800048828125
2016-03-21,80,1335378401631.16,1384,10.17625,11.975666666666667,10.143,11.909,116394,32.4623890737613,78323155.18698,32494,26198708914.5464,20000000000.0,0.0092,1.04940068,0.0651367900718536,2051.60009765625,13.789999961853027,1243.800048828125
2016-03-22,81,1373775960784.34,1127,11.88,11.967,11.130666666666668,11.201,117521,26.1394891028328,78354867.06198,32858,23516912695.1005,20000000000.0,0.0088,1.03551402,0.0358664802271847,2049.800048828125,14.170000076293945,1248.199951171875
2016-03-23,82,1296762734433.17,1185,11.263142857142856,12.429,11.201,12.42,118706,32.6582983315126,78386161.12448,31764,24515668491.3157,20000000000.0,0.0096,1.04869787,0.0414523869634861,2036.7099609375,14.9399995803833,1223.699951171875
2016-03-24,83,1396919607370.06,1099,12.44,12.458666666666668,10.743000000000002,11.18,119805,41.4097826338738,78418232.21823,36919,24817035022.4461,20000000000.0,0.0096,1.02250489,0.0810593270716569,2035.93994140625,14.739999771118164,1221.4000244140625
2016-03-25,84,1464960914632.31,1044,11.231,11.340333333333335,10.5215,10.6698,120849,40.3548918250728,78450122.06198,36737,28125320880.6098,20000000000.0,0.0084,1.0406398,0.0423477038701716,2035.93994140625,14.739999771118164,1221.4000244140625
2016-03-26,85,1509675663909.0,977,10.672333333333333,11.198,10.6102,11.012,121826,35.056420511198,78482050.49948,36606,25100050063.4599,20000000000.0,0.0074,1.04444235,0.032778876879541,2035.93994140625,14.739999771118164,1221.4000244140625
2016-03-27,86,1536410708511.78,984,10.981,10.981,10.198,10.407,122810,19.2099077568399,78513681.28073,29950,23366025517.8795,20000000000.0,0.0082,1.05003754,0.0402826584018096,2035.93994140625,14.739999771118164,1221.4000244140625
