t,hash_rate_mean,new_addresses,open,high,low,close,total_addresses,total_fees,total_supply,total_transactions,V1
2016-04-30,1315612796806450000,220758,458.104533327041,458.8912518081869,449.3066789663442,453.3580726385216,144160272,40.87923127,15490950.0,215566,0.0243
2016-05-01,1373676457681060000,190714,451.35444809296223,456.68316221296993,448.3393385248126,454.3377402582147,144350986,34.50281105,15494825.0,191275,0.0108
2016-05-02,1370787962381750000,215762,455.1634320520801,457.165588453704,441.0735671524928,445.729278648282,144566748,45.13159943,15498750.0,223628,0.04
2016-05-03,1340099535730800000,222591,446.32751644355193,452.8053601684959,442.30308135706434,451.501854947788,144789339,44.86828296,15502525.0,235458,0.0252
2016-05-04,1475288757515190000,216958,451.9603831533647,452.4107843780877,445.3711132604432,448.001937404669,145006297,47.17178574,15506700.0,233524,0.0172
2016-05-05,1377718133366530000,214432,448.3385285440143,450.6807073739425,446.0134341353435,449.2282265593353,145220729,44.25619976,15510575.0,229418,0.0172
2016-05-06,1437174153653080000,214989,449.02645003100025,462.9163582355579,447.9136629053385,460.9599712723831,145435718,44.519552,15514625.0,233070,0.0156
2016-05-07,1328367075859750000,193044,461.2487683843643,462.8528848139981,457.1291231882647,461.138059959326,145628762,37.61683514,15518375.0,201912,0.0148
2016-05-08,1485182921874530000,183364,459.19769953632994,462.9629424821448,455.9650713358509,461.5625344457377,145812126,34.73771327,15522575.0,188857,0.0144
2016-05-09,1514985388040420000,224435,460.4041025987124,464.6844567637314,456.37873047672656,463.8478179625745,146036561,40.4654474,15526850.0,226278,0.0148
2016-05-10,1404627705160010000,232138,463.7211502530503,464.7090406885057,449.8079775237246,452.38923924080063,146268699,48.10185732,15530800.0,245563,0.0144
2016-05-11,1258251514758360000,224970,452.1583016656247,457.9253338467265,451.9229334943058,454.46139296844393,146493669,45.88566709,15534125.0,234279,0.0144
2016-05-12,1362896380685120000,220272,453.5984740397465,456.1278655134969,449.2930277487973,455.53856203692703,146713941,46.75238994,15537600.0,228270,0.0132
2016-05-13,1435580964382010000,219933,456.1670487552075,457.74494428991,452.4597742273505,457.60834697826897,146933874,47.58216903,15541400.0,231994,0.0132
2016-05-14,1386070357298460000,201211,457.84590055994295,459.276980428591,454.2308644339287,458.4449158675629,147135085,48.00318276,15545000.0,211136,0.0112
2016-05-15,1338668789796690000,186172,456.82424619586527,462.3653980815639,455.2340459002083,460.9721197500823,147321257,45.61359577,15548475.0,200032,0.0108
