t,Unnamed: 0,hash_rate_mean,new_addresses,open,high,low,close,total_addresses,total_fees,total_supply,total_transactions,google_trends,transfers_med,sigma,gold,sp500,vix
2020-11-21,1786,148574222687489000000,486456,18643.24930829614,18933.06450212801,18444.35892489717,18681.88473987622,739201333,46.90621911,18550412.5,311020,0.1725,0.0254887,0.0184469164745194,1872.5999755859373,3557.5400390625,23.700000762939453
2020-11-22,1787,152598920841100000000,430736,18642.232765928307,18687.77618649418,17709.23526028505,18406.83639385749,739632069,32.02458461,18551500.0,270951,0.1472,0.02197985,0.0372014305247404,1872.5999755859373,3557.5400390625,23.700000762939453
2020-11-23,1788,128548350086391000000,484809,18370.00252364805,18711.426730614538,18002.09081629187,18340.95092402201,740116878,56.54584603,18552418.75,297693,0.1587,0.03428253,0.027309480431949,1837.800048828125,3577.590087890625,22.65999984741211
2020-11-24,1789,118194693937083000000,543103,18364.121591339885,19345.07067041079,18149.31069812357,19081.11380920774,740659981,86.28199286,18553268.75,333157,0.2162,0.04121618,0.0383260455749886,1804.800048828125,3635.409912109375,21.639999389648438
2020-11-25,1790,135921625148945000000,579342,19104.409610352075,19390.96555565505,18586.471768670897,18764.47654404935,741239323,98.62265001,18554237.5,361835,0.207,0.03467799,0.0278070424989423,1805.699951171875,3629.64990234375,21.25
2020-11-26,1791,132195071653178000000,525787,18729.84058730682,18866.286129524942,16369.142597355658,17106.29070146959,741765110,103.83357397,18555175.0,323825,0.23,0.04420095,0.0830847934222264,1805.699951171875,3629.64990234375,21.25
2020-11-27,1792,134789789111882000000,513799,17153.913124676237,17445.02428554613,16560.783223506744,17096.724533063225,742278909,84.21494944,18556137.5,322291,0.1633,0.0353541999999999,0.0367229830010548,1781.9000244140625,3638.35009765625,20.84000015258789
2020-11-28,1793,133670565738951000000,472882,17112.93423772801,17848.094118104986,16916.041857223212,17714.060585997013,742751791,56.82028025,18557100.0,293795,0.1357,0.02763406,0.0312712399501328,1781.9000244140625,3638.35009765625,20.84000015258789
2020-11-29,1794,135712889718700000000,434832,17719.634613538023,18282.66602695137,17561.421423018128,18147.63645981038,743186623,39.86594809,18558037.5,263423,0.1334,0.0264843,0.024288666272327,1781.9000244140625,3638.35009765625,20.84000015258789
2020-11-30,1795,107377083337827000000,441143,18178.32211783476,19733.996478529585,18178.32211783476,19689.81054499716,743627766,72.31782859,18558743.75,256438,0.1886,0.04564117,0.0301152958476622,1775.699951171875,3621.6298828125,20.56999969482422
2020-12-01,1796,146392546734913000000,614449,19633.77044727143,19839.174458231973,18437.148928300023,18863.78086086128,744242215,145.30838285,18559693.75,377916,0.155,0.0438531,0.0454695513041538,1814.0999755859373,3662.449951171875,20.770000457763672
2020-12-02,1797,125261133151373000000,539351,18801.743593136114,19285.287732488137,18363.206812730303,19196.437039164783,744781566,131.45675736,18560512.5,326888,0.1271,0.03650826,0.0321473837895528,1825.699951171875,3669.010009765625,21.170000076293945
