t,new_btc
2019-04-03,1774.9999999999998
2019-04-04,1750.0
2019-04-05,1975.0
2019-04-06,1737.4999999999998
2019-04-07,1762.5
2019-04-08,1850.0
2019-04-09,1650.0000000000005
2019-04-10,1850.0
2019-04-11,1962.4999999999995
2019-04-12,1887.5
2019-04-13,1687.5000000000002
2019-04-14,1525.0
2019-04-15,1812.5
2019-04-16,1812.4999999999995
2019-04-17,1725.0
2019-04-18,1862.5
2019-04-19,1900.0
2019-04-20,1637.4999999999995
2019-04-21,2025.0000000000005
2019-04-22,1674.9999999999993
2019-04-23,1450.0
2019-04-24,2037.5
2019-04-25,1787.4999999999998
2019-04-26,1887.5
2019-04-27,1712.5000000000002
2019-04-28,2037.4999999999998
2019-04-29,2037.4999999999998
2019-04-30,1750.0
2019-05-01,2137.5
2019-05-02,2300.0000000000005
2019-05-03,1900.0000000000002
2019-05-04,1650.0000000000002
2019-05-05,1612.4999999999998
2019-05-06,1887.5000000000002
2019-05-07,1587.5
2019-05-08,1899.9999999999995
2019-05-09,1875.0
2019-05-10,1562.4999999999995
2019-05-11,1625.0000000000005
2019-05-12,1975.0000000000005
2019-05-13,2087.5
2019-05-14,1900.0
2019-05-15,1862.5
2019-05-16,1825.0
2019-05-17,1887.5
2019-05-18,1912.5000000000005
2019-05-19,2037.5
2019-05-20,2012.5000000000002
2019-05-21,1912.5
2019-05-22,2087.5
2019-05-23,1975.0
2019-05-24,1912.5000000000005
2019-05-25,1750.0000000000002
2019-05-26,2062.4999999999995
2019-05-27,2087.5
2019-05-28,2050.0
2019-05-29,2175.0
2019-05-30,2000.0
2019-05-31,1462.5
2019-06-01,1887.5
2019-06-02,1637.5
2019-06-03,1487.5
2019-06-04,1924.9999999999995
2019-06-05,2000.0
2019-06-06,1962.4999999999998
2019-06-07,1975.0
2019-06-08,1550.0
2019-06-09,1837.5
2019-06-10,1962.5000000000002
2019-06-11,1787.4999999999995
2019-06-12,1637.5
2019-06-13,1887.5
2019-06-14,2112.4999999999995
2019-06-15,1825.0
2019-06-16,1625.0
2019-06-17,1662.5
2019-06-18,2037.5
2019-06-19,2212.5
2019-06-20,1800.0000000000002
2019-06-21,1662.5
2019-06-22,1762.5
2019-06-23,2262.5
2019-06-24,2212.5
2019-06-25,1824.9999999999998
2019-06-26,2062.5
2019-06-27,1775.0
2019-06-28,2037.4999999999998
2019-06-29,2175.0
2019-06-30,1900.0
2019-07-01,1787.4999999999995
2019-07-02,1974.9999999999995
2019-07-03,2150.0000000000005
2019-07-04,2087.5
2019-07-05,2362.5000000000005
2019-07-06,2225.0
2019-07-07,1912.5
2019-07-08,2225.0
2019-07-09,1925.0
2019-07-10,1612.5
2019-07-11,1612.5
2019-07-12,2050.0
2019-07-13,1762.5000000000005
2019-07-14,1812.5
2019-07-15,1825.0
2019-07-16,2025.0000000000002
2019-07-17,1662.5
2019-07-18,1512.5000000000002
2019-07-19,1475.0000000000005
2019-07-20,2212.5
2019-07-21,1862.5
2019-07-22,1975.0
2019-07-23,1787.5
2019-07-24,1737.5
2019-07-25,1875.0
2019-07-26,2075.0
2019-07-27,1900.0
2019-07-28,2187.5
2019-07-29,2100.0
2019-07-30,1775.0
2019-07-31,2137.4999999999995
2019-08-01,1775.0
2019-08-02,2112.5
2019-08-03,2162.5
2019-08-04,2087.5
2019-08-05,1787.5
2019-08-06,2012.5
2019-08-07,1912.5
2019-08-08,1775.0
2019-08-09,1837.5
2019-08-10,1887.5
2019-08-11,1912.5
2019-08-12,1662.5
2019-08-13,1962.5
2019-08-14,1900.0
2019-08-15,1962.5
2019-08-16,1837.5
2019-08-17,1600.0
2019-08-18,1575.0
2019-08-19,2037.5
2019-08-20,1912.5
2019-08-21,1700.0
2019-08-22,1762.5
2019-08-23,1912.5
2019-08-24,2000.0
2019-08-25,1937.5
2019-08-26,1712.5
2019-08-27,1687.5
2019-08-28,1887.5
2019-08-29,2062.5
2019-08-30,2000.0
2019-08-31,2075.0
2019-09-01,1787.5
2019-09-02,1862.5
2019-09-03,2050.0
2019-09-04,1700.0
2019-09-05,2062.5
2019-09-06,1975.0
2019-09-07,1875.0
2019-09-08,2212.5
2019-09-09,1825.0
2019-09-10,2275.0
2019-09-11,2300.0
2019-09-12,1975.0
2019-09-13,1875.0
2019-09-14,1937.5
2019-09-15,1837.5
2019-09-16,2037.5
2019-09-17,1850.0
2019-09-18,2175.0
2019-09-19,1850.0
2019-09-20,1887.5
2019-09-21,2075.0
2019-09-22,2075.0
2019-09-23,1425.0
2019-09-24,1962.5
2019-09-25,1950.0
2019-09-26,2137.5
2019-09-27,1650.0
2019-09-28,1987.5
2019-09-29,1700.0
2019-09-30,1625.0
2019-10-01,1787.5
2019-10-02,1850.0
2019-10-03,1837.5
2019-10-04,1837.5
2019-10-05,1975.0
2019-10-06,1862.5
2019-10-07,1937.5
2019-10-08,2025.0
2019-10-09,1725.0
2019-10-10,2025.0
2019-10-11,1950.0
2019-10-12,1662.5
2019-10-13,1775.0
2019-10-14,1687.5
2019-10-15,1912.5
2019-10-16,1787.5
2019-10-17,1875.0
2019-10-18,2000.0
2019-10-19,1775.0
2019-10-20,1825.0
2019-10-21,1987.4999999999995
2019-10-22,2112.5
2019-10-23,2100.0
2019-10-24,1662.5
2019-10-25,1725.0
2019-10-26,1750.0
2019-10-27,1437.5
2019-10-28,1675.0
2019-10-29,1662.5
2019-10-30,1675.0
2019-10-31,1650.0
2019-11-01,1625.0
2019-11-02,1675.0
2019-11-03,1725.0
2019-11-04,1650.0
2019-11-05,1800.0
2019-11-06,1650.0
2019-11-07,1687.5
2019-11-08,1600.0
2019-11-09,1800.0
2019-11-10,2075.0
2019-11-11,1887.5
2019-11-12,1687.5
2019-11-13,1687.5
2019-11-14,2112.5
2019-11-15,1975.0
2019-11-16,1850.0
2019-11-17,1925.0
2019-11-18,1750.0
2019-11-19,1837.5
2019-11-20,1775.0
2019-11-21,1712.5
2019-11-22,1650.0
2019-11-23,2162.5
2019-11-24,1637.5
2019-11-25,1562.5
2019-11-26,1525.0
2019-11-27,1737.5
2019-11-28,2037.5
2019-11-29,1700.0
2019-11-30,1575.0
2019-12-01,1737.5
2019-12-02,1812.5
2019-12-03,1975.0
2019-12-04,2087.5
2019-12-05,1812.5
2019-12-06,1812.5
2019-12-07,1937.5
2019-12-08,1850.0
2019-12-09,1850.0
2019-12-10,1850.0
2019-12-11,1650.0
2019-12-12,1662.5
2019-12-13,1900.0
2019-12-14,1887.5
2019-12-15,1550.0
2019-12-16,1962.5
2019-12-17,1762.5
2019-12-18,1675.0
2019-12-19,1962.5
2019-12-20,1950.0
2019-12-21,2200.0
2019-12-22,2112.5
2019-12-23,1787.5
2019-12-24,1562.5
2019-12-25,1600.0
2019-12-26,2087.5
2019-12-27,1812.5
2019-12-28,1862.5
2019-12-29,1937.5
2019-12-30,2075.0
2019-12-31,1812.5
2020-01-01,2175.0
2020-01-02,1762.5
2020-01-03,2112.5
2020-01-04,2100.0
2020-01-05,2037.5
2020-01-06,1687.5
2020-01-07,2200.0
2020-01-08,1775.0
2020-01-09,1962.5
2020-01-10,1862.5
2020-01-11,2037.5
2020-01-12,1887.5
2020-01-13,1787.5
2020-01-14,1812.5
2020-01-15,1887.5
2020-01-16,1987.5
2020-01-17,1987.5
2020-01-18,1650.0
2020-01-19,1875.0
2020-01-20,1900.0
2020-01-21,1912.5
2020-01-22,1950.0
2020-01-23,1987.5
2020-01-24,1900.0
2020-01-25,2050.0
2020-01-26,1787.5
2020-01-27,1612.5
2020-01-28,1775.0
2020-01-29,2000.0
2020-01-30,1950.0
2020-01-31,1800.0
2020-02-01,1887.5
2020-02-02,1787.5
2020-02-03,1850.0
2020-02-04,1650.0
2020-02-05,1987.5
2020-02-06,1687.5
2020-02-07,1737.5
2020-02-08,1737.5
2020-02-09,1912.5
2020-02-10,1525.0
2020-02-11,1850.0
2020-02-12,1775.0
