t,new_addresses
2017-12-23,482949
2017-12-24,418053
2017-12-25,347398
2017-12-26,391992
2017-12-27,508200
2017-12-28,496273
2017-12-29,563134
2017-12-30,548609
2017-12-31,441146
2018-01-01,376395
2018-01-02,564782
2018-01-03,650353
2018-01-04,705502
2018-01-05,592757
2018-01-06,589710
2018-01-07,621100
2018-01-08,578391
2018-01-09,617206
2018-01-10,583580
2018-01-11,551821
2018-01-12,490486
2018-01-13,433002
2018-01-14,380510
2018-01-15,448871
2018-01-16,477022
2018-01-17,501546
2018-01-18,486392
2018-01-19,379195
2018-01-20,373560
2018-01-21,323166
2018-01-22,369415
2018-01-23,351712
2018-01-24,380489
2018-01-25,352208
2018-01-26,336895
2018-01-27,386099
2018-01-28,310638
2018-01-29,342142
2018-01-30,352820
2018-01-31,313499
2018-02-01,385013
2018-02-02,350469
2018-02-03,276616
2018-02-04,248290
2018-02-05,308288
2018-02-06,358340
2018-02-07,315524
2018-02-08,257675
2018-02-09,277407
2018-02-10,273890
2018-02-11,226863
2018-02-12,286370
2018-02-13,279243
2018-02-14,294651
2018-02-15,302301
2018-02-16,278751
2018-02-17,263046
2018-02-18,242574
2018-02-19,285432
2018-02-20,306423
2018-02-21,306130
2018-02-22,278053
2018-02-23,270530
2018-02-24,222910
2018-02-25,218404
2018-02-26,278150
2018-02-27,328370
2018-02-28,273040
2018-03-01,344095
2018-03-02,300343
2018-03-03,265396
2018-03-04,244535
2018-03-05,306262
2018-03-06,295901
2018-03-07,302091
2018-03-08,282084
2018-03-09,281973
2018-03-10,227349
2018-03-11,219372
2018-03-12,268312
2018-03-13,271876
2018-03-14,277136
2018-03-15,295654
2018-03-16,271073
2018-03-17,223657
2018-03-18,237920
2018-03-19,275939
2018-03-20,284634
2018-03-21,281300
2018-03-22,270686
2018-03-23,261303
2018-03-24,230893
2018-03-25,200508
2018-03-26,272335
2018-03-27,270640
2018-03-28,258166
2018-03-29,273099
2018-03-30,262049
2018-03-31,211232
2018-04-01,195132
2018-04-02,240383
2018-04-03,286343
2018-04-04,268392
2018-04-05,263142
2018-04-06,259248
2018-04-07,215720
2018-04-08,196793
2018-04-09,251140
2018-04-10,269157
2018-04-11,263755
2018-04-12,295906
2018-04-13,313986
2018-04-14,239163
2018-04-15,265225
2018-04-16,288930
2018-04-17,298952
2018-04-18,296602
2018-04-19,314752
2018-04-20,304505
2018-04-21,283327
2018-04-22,250877
2018-04-23,313343
2018-04-24,363251
2018-04-25,311525
2018-04-26,313797
2018-04-27,305162
2018-04-28,265211
2018-04-29,257124
2018-04-30,312816
2018-05-01,319641
2018-05-02,309970
2018-05-03,335403
2018-05-04,318665
2018-05-05,292106
2018-05-06,241753
2018-05-07,296317
2018-05-08,311488
2018-05-09,303647
2018-05-10,306005
2018-05-11,302445
2018-05-12,257166
2018-05-13,230968
2018-05-14,307530
2018-05-15,315277
2018-05-16,295325
2018-05-17,274632
2018-05-18,299127
2018-05-19,244083
2018-05-20,233059
2018-05-21,292129
2018-05-22,292700
2018-05-23,310429
2018-05-24,289352
2018-05-25,278404
2018-05-26,225391
2018-05-27,207339
2018-05-28,259574
2018-05-29,287346
2018-05-30,294702
2018-05-31,303106
2018-06-01,298615
2018-06-02,247855
2018-06-03,231997
2018-06-04,296556
2018-06-05,304251
2018-06-06,297283
2018-06-07,287549
2018-06-08,284711
2018-06-09,238707
2018-06-10,241218
2018-06-11,287767
2018-06-12,296097
2018-06-13,288271
2018-06-14,289147
2018-06-15,284142
2018-06-16,221210
2018-06-17,203095
2018-06-18,280459
2018-06-19,270727
2018-06-20,283337
2018-06-21,274581
2018-06-22,278305
2018-06-23,230293
2018-06-24,213826
2018-06-25,272562
2018-06-26,269826
2018-06-27,261988
2018-06-28,259482
2018-06-29,273266
2018-06-30,241501
2018-07-01,211252
2018-07-02,273830
2018-07-03,302138
2018-07-04,286184
2018-07-05,272058
2018-07-06,281725
2018-07-07,227916
2018-07-08,220671
2018-07-09,283014
2018-07-10,293877
2018-07-11,275599
2018-07-12,270214
2018-07-13,288149
2018-07-14,237064
2018-07-15,219458
2018-07-16,286754
2018-07-17,327988
2018-07-18,330155
2018-07-19,310270
2018-07-20,307160
2018-07-21,251188
2018-07-22,235512
2018-07-23,317262
2018-07-24,360330
2018-07-25,350627
2018-07-26,320690
2018-07-27,319401
2018-07-28,260730
2018-07-29,245295
2018-07-30,318076
2018-07-31,336242
2018-08-01,330708
2018-08-02,311938
2018-08-03,309663
2018-08-04,266826
2018-08-05,233338
2018-08-06,300149
2018-08-07,320446
2018-08-08,323354
2018-08-09,304148
2018-08-10,309375
2018-08-11,255141
2018-08-12,223246
2018-08-13,303763
2018-08-14,339737
2018-08-15,341831
2018-08-16,317696
2018-08-17,320852
2018-08-18,261990
2018-08-19,245065
2018-08-20,313767
2018-08-21,302680
2018-08-22,323086
2018-08-23,297483
2018-08-24,303345
2018-08-25,271177
2018-08-26,233141
2018-08-27,309139
2018-08-28,326736
2018-08-29,337137
2018-08-30,313041
2018-08-31,325443
2018-09-01,284694
2018-09-02,252022
2018-09-03,304462
2018-09-04,320350
2018-09-05,335508
2018-09-06,334727
